occupation_code	occupation_name	display_level	selectable	sort_sequence
251041	Agricultural Sciences Teachers, Postsecondary	3	T	256	
251042	Biological Science Teachers, Postsecondary	3	T	257	
251043	Forestry and Conservation Science Teachers, Postsecondary	3	T	258	
251050	Physical Sciences Teachers, Postsecondary	2	T	259	
251051	Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary	3	T	260	
251052	Chemistry Teachers, Postsecondary	3	T	261	
251053	Environmental Science Teachers, Postsecondary	3	T	262	
251054	Physics Teachers, Postsecondary	3	T	263	
251060	Social Sciences Teachers, Postsecondary	2	T	264	
251061	Anthropology and Archeology Teachers, Postsecondary	3	T	265	
251062	Area, Ethnic, and Cultural Studies Teachers, Postsecondary	3	T	266	
251063	Economics Teachers, Postsecondary	3	T	267	
251064	Geography Teachers, Postsecondary	3	T	268	
251065	Political Science Teachers, Postsecondary	3	T	269	
251066	Psychology Teachers, Postsecondary	3	T	270	
251067	Sociology Teachers, Postsecondary	3	T	271	
251069	Social Sciences Teachers, Postsecondary, All Other	3	T	272	
251070	Health Teachers, Postsecondary	2	T	273	
251071	Health Specialties Teachers, Postsecondary	3	T	274	
251072	Nursing Instructors and Teachers, Postsecondary	3	T	275	
251080	Education and Library Science Teachers, Postsecondary	2	T	276	
251081	Education Teachers, Postsecondary	3	T	277	
251082	Library Science Teachers, Postsecondary	3	T	278	
251110	Law, Criminal Justice, and Social Work Teachers, Postsecondary	2	T	279	
251111	Criminal Justice and Law Enforcement Teachers, Postsecondary	3	T	280	
251112	Law Teachers, Postsecondary	3	T	281	
251113	Social Work Teachers, Postsecondary	3	T	282	
251120	Arts, Communications, and Humanities Teachers, Postsecondary	2	T	283	
251121	Art, Drama, and Music Teachers, Postsecondary	3	T	284	
251122	Communications Teachers, Postsecondary	3	T	285	
251123	English Language and Literature Teachers, Postsecondary	3	T	286	
251124	Foreign Language and Literature Teachers, Postsecondary	3	T	287	
251125	History Teachers, Postsecondary	3	T	288	
251126	Philosophy and Religion Teachers, Postsecondary	3	T	289	
251190	Miscellaneous Postsecondary Teachers	2	T	290	
251191	Graduate Teaching Assistants	3	T	291	
251192	Home Economics Teachers, Postsecondary	3	T	292	
251193	Recreation and Fitness Studies Teachers, Postsecondary	3	T	293	
251194	Vocational Education Teachers, Postsecondary	3	T	294	
251199	Postsecondary Teachers, All Other	3	T	295	
252000	Preschool, Primary, Secondary, and Special Education School Teachers	1	T	296	
252010	Preschool and Kindergarten Teachers	2	T	297	
252011	Preschool Teachers, Except Special Education	3	T	298	
252012	Kindergarten Teachers, Except Special Education	3	T	299	
252020	Elementary and Middle School Teachers	2	T	300	
252021	Elementary School Teachers, Except Special Education	3	T	301	
252022	Middle School Teachers, Except Special and Career/Technical Education	3	T	302	
252023	Career/Technical Education Teachers, Middle School	3	T	303	
252030	Secondary School Teachers	2	T	304	
252031	Secondary School Teachers, Except Special and Career/Technical Education	3	T	305	
252032	Career/Technical Education Teachers, Secondary School	3	T	306	
252050	Special Education Teachers	2	T	307	
252051	Special Education Teachers, Preschool	3	T	308	
252052	Special Education Teachers, Kindergarten and Elementary School	3	T	309	
252053	Special Education Teachers, Middle School	3	T	310	
252054	Special Education Teachers, Secondary School	3	T	311	
252059	Special Education Teachers, All Other	3	T	312	
253000	Other Teachers and Instructors	1	T	313	
253011	Adult Basic and Secondary Education and Literacy Teachers and Instructors	3	T	314	
253021	Self-Enrichment Education Teachers	3	T	315	
253090	Miscellaneous Teachers and Instructors	2	T	316	
253097	Teachers and Instructors, All Other, Except Substitute Teachers	3	T	317	
253098	Substitute Teachers	3	T	318	
254000	Librarians, Curators, and Archivists	1	T	319	
254010	Archivists, Curators, and Museum Technicians	2	T	320	
254011	Archivists	3	T	321	
254012	Curators	3	T	322	
254013	Museum Technicians and Conservators	3	T	323	
254021	Librarians	3	T	324	
254031	Library Technicians	3	T	325	
259000	Other Education, Training, and Library Occupations	1	T	326	
259011	Audio-Visual and Multimedia Collections Specialists	3	T	327	
259021	Farm and Home Management Advisors	3	T	328	
259031	Instructional Coordinators	3	T	329	
259041	Teacher Assistants	3	T	330	
259099	Education, Training, and Library Workers, All Other	3	T	331	
270000	Arts, Design, Entertainment, Sports, and Media Occupations	0	T	332	
271000	Art and Design Workers	1	T	333	
271010	Artists and Related Workers	2	T	334	
271011	Art Directors	3	T	335	
271012	Craft Artists	3	T	336	
271013	Fine Artists, Including Painters, Sculptors, and Illustrators	3	T	337	
271014	Multimedia Artists and Animators	3	T	338	
271019	Artists and Related Workers, All Other	3	T	339	
271020	Designers	2	T	340	
271021	Commercial and Industrial Designers	3	T	341	
271022	Fashion Designers	3	T	342	
271023	Floral Designers	3	T	343	
271024	Graphic Designers	3	T	344	
271025	Interior Designers	3	T	345	
271026	Merchandise Displayers and Window Trimmers	3	T	346	
271027	Set and Exhibit Designers	3	T	347	
271029	Designers, All Other	3	T	348	
272000	Entertainers and Performers, Sports and Related Workers	1	T	349	
272010	Actors, Producers, and Directors	2	T	350	
272011	Actors	3	T	351	
272012	Producers and Directors	3	T	352	
272020	Athletes, Coaches, Umpires, and Related Workers	2	T	353	
272021	Athletes and Sports Competitors	3	T	354	
272022	Coaches and Scouts	3	T	355	
272023	Umpires, Referees, and Other Sports Officials	3	T	356	
272030	Dancers and Choreographers	2	T	357	
272031	Dancers	3	T	358	
272032	Choreographers	3	T	359	
272040	Musicians, Singers, and Related Workers	2	T	360	
272041	Music Directors and Composers	3	T	361	
272042	Musicians and Singers	3	T	362	
272099	Entertainers and Performers, Sports and Related Workers, All Other	3	T	363	
273000	Media and Communication Workers	1	T	364	
273010	Announcers	2	T	365	
273011	Radio and Television Announcers	3	T	366	
273012	Public Address System and Other Announcers	3	T	367	
273020	News Analysts, Reporters and Correspondents	2	T	368	
273021	Broadcast News Analysts	3	T	369	
273022	Reporters and Correspondents	3	T	370	
273031	Public Relations Specialists	3	T	371	
273040	Writers and Editors	2	T	372	
273041	Editors	3	T	373	
273042	Technical Writers	3	T	374	
273043	Writers and Authors	3	T	375	
273090	Miscellaneous Media and Communication Workers	2	T	376	
273091	Interpreters and Translators	3	T	377	
273099	Media and Communication Workers, All Other	3	T	378	
274000	Media and Communication Equipment Workers	1	T	379	
274010	Broadcast and Sound Engineering Technicians and Radio Operators	2	T	380	
274011	Audio and Video Equipment Technicians	3	T	381	
274012	Broadcast Technicians	3	T	382	
274013	Radio Operators	3	T	383	
274014	Sound Engineering Technicians	3	T	384	
274021	Photographers	3	T	385	
274030	Television, Video, and Motion Picture Camera Operators and Editors	2	T	386	
274031	Camera Operators, Television, Video, and Motion Picture	3	T	387	
274032	Film and Video Editors	3	T	388	
274099	Media and Communication Equipment Workers, All Other	3	T	389	
290000	Healthcare Practitioners and Technical Occupations	0	T	390	
291000	Health Diagnosing and Treating Practitioners	1	T	391	
291011	Chiropractors	3	T	392	
291020	Dentists	2	T	393	
291021	Dentists, General	3	T	394	
291022	Oral and Maxillofacial Surgeons	3	T	395	
291023	Orthodontists	3	T	396	
291024	Prosthodontists	3	T	397	
291029	Dentists, All Other Specialists	3	T	398	
291031	Dietitians and Nutritionists	3	T	399	
291041	Optometrists	3	T	400	
291051	Pharmacists	3	T	401	
291060	Physicians and Surgeons	2	T	402	
291061	Anesthesiologists	3	T	403	
291062	Family and General Practitioners	3	T	404	
291063	Internists, General	3	T	405	
291064	Obstetricians and Gynecologists	3	T	406	
291065	Pediatricians, General	3	T	407	
291066	Psychiatrists	3	T	408	
291067	Surgeons	3	T	409	
291069	Physicians and Surgeons, All Other	3	T	410	
291071	Physician Assistants	3	T	411	
291081	Podiatrists	3	T	412	
291120	Therapists	2	T	413	
291122	Occupational Therapists	3	T	414	
291123	Physical Therapists	3	T	415	
291124	Radiation Therapists	3	T	416	
