zip,cbsa
20714,47900
20658,47900
20703,47900
20601,47900
20634,15680
20622,15680
20608,47900
20622,47900
20570,47900
20090,47900
20319,47900
20233,47900
20850,47900
20851,47900
20837,47900
20785,47900
20768,47900
20771,47900
20743,47900
21044,12580
21030,12580
21042,12580
21001,12580
21013,12580
20914,47900
20882,47900
20898,47900
20880,47900
20877,47900
20874,47900
21146,12580
21085,12580
21104,12580
21087,12580
21056,12580
21227,12580
21222,12580
21213,12580
21212,12580
21206,12580
21663,20660
21704,47900
21661,99999
21667,99999
21671,20660
21643,15700
21502,19060
21503,19060
21532,99999
21531,99999
21404,12580
21239,12580
21919,37980
20105,47900
21875,41540
21822,41540
21837,41540
21802,41540
21737,12580
21755,47900
21776,47900
22041,47900
20181,47900
20194,47900
20177,47900
20158,47900
20148,47900
22306,47900
22183,47900
22195,47900
22201,47900
22172,47900
22079,47900
22060,47900
22103,47900
22546,40060
22408,47900
22473,99999
22480,99999
22645,49020
22701,47900
22735,47900
22604,49020
22639,47900
23093,99999
23061,47260
23063,40060
23027,99999
23038,16820
22973,16820
22946,16820
22849,99999
22923,16820
22827,25500
23235,40060
23188,47260
23140,40060
23141,40060
23139,40060
23181,99999
23459,47260
23455,47260
23438,47260
23430,47260
23415,99999
23298,40060
23841,40060
23832,40060
23838,40060
23842,40060
23824,99999
23830,40060
23842,99999
23846,99999
23828,99999
23692,47260
23661,47260
23664,47260
23601,47260
23507,47260
23510,47260
23523,47260
24054,32300
24017,40220
24012,40220
24401,44420
24445,99999
24458,99999
24483,16820
23936,16820
23947,99999
23944,99999
23930,99999
23934,99999
23851,99999
23883,99999
23868,99999
23856,99999
23890,99999
23867,40060
23893,99999
24201,28700
24210,28700
24203,28700
24137,40220
24128,13980
24124,13980
24085,40220
24089,32300
24065,40220
24059,40220
24083,40220
24064,31340
24374,99999
24354,99999
24315,99999
24263,99999
24273,13720
24313,99999
24290,28700
24701,14140
24747,14140
24646,99999
24637,14140
24640,14140
24872,99999
24830,99999
24839,99999
24714,14140
24598,99999
24574,31340
24594,99999
24523,31340
25320,16620
25314,16620
25275,99999
25271,99999
25239,99999
25303,16620
25252,99999
25111,16620
25053,16620
25118,13220
25154,16620
25009,16620
24951,99999
24931,99999
25003,16620
25024,16620
25044,13220
25951,99999
25880,13220
25901,13220
25976,13220
25820,14140
25984,99999
25702,26580
25669,26580
25544,26580
25530,26580
25550,38580
25508,16620
25502,38580
25524,26580
25428,25180
25434,99999
26408,17220
26440,17220
26405,99999
26405,34060
26412,99999
26294,99999
26320,99999
26338,99999
26257,21180
26205,99999
26102,37620
26178,99999
27030,34340
26757,49020
27006,49180
27007,34340
27009,49180
26852,49020
26651,99999
26679,99999
26755,49020
26714,49020
26722,49020
26619,99999
26562,99999
26570,34060
26588,21900
27243,20500
27209,99999
27207,20500
27244,99999
27208,24660
27208,20500
27209,38240
27109,49180
27040,49180
27045,49180
27046,49180
27295,49180
27377,24660
27344,20500
27326,99999
27349,15500
27355,24660
27315,99999
27311,99999
27298,15500
27302,15500
27320,99999
27310,24660
27283,24660
27521,20380
27525,37080
27523,20500
27519,39580
27501,20380
27504,39580
27510,20500
27416,24660
27507,25780
27407,24660
27587,39580
27542,48980
27533,24140
27802,40580
27925,28620
27897,40260
27865,47820
27890,40260
27876,40260
27836,24780
27842,99999
27832,40260
27823,40260
27824,99999
28655,25860
28658,25860
28651,35900
28630,25860
28609,25860
28615,99999
28611,25860
28603,25860
27962,99999
27939,47260
27986,99999
27962,47820
28078,16740
28031,16740
28012,16740
28021,16740
28025,16740
28693,99999
28203,16740
28160,22580
28114,43140
28127,99999
28125,16740
28217,16740
28226,16740
28229,16740
28234,16740
28356,22180
28356,20380
28339,20380
28338,40460
28312,22180
28318,99999
28442,99999
28428,48900
28398,99999
28386,31300
28363,29900
28365,24140
28365,99999
28369,31300
28562,35100
28555,35100
28530,24780
28456,34820
28723,19000
28760,11700
28740,99999
28715,11700
28718,14820
28702,99999
28709,11700
29706,16740
28805,11700
28902,99999
28786,11700
28791,11700
28763,99999
28774,19000
29001,99999
29078,17900
29080,44940
29112,17900
29047,36700
29055,16740
29056,99999
29036,35140
29040,44940
29042,99999
29020,17900
29001,44940
29037,35140
29020,99999
29728,99999
29731,16740
29212,17900
29223,17900
29260,17900
29290,17900
29153,44940
29135,17900
29128,99999
29129,12260
29116,36700
29450,16700
29455,16700
29426,16700
29414,16700
29412,16700
29379,43900
29355,24860
29332,24860
29335,24860
29525,13500
29505,22500
29492,16700
29472,99999
29620,24940
29628,24940
29624,24860
29609,24860
29591,22500
29593,99999
29582,34820
29583,22500
29580,99999
29693,42860
29681,24860
29653,24940
29649,24940
29641,24860
29642,24860
30024,12060
30036,12060
29944,99999
30068,12060
30064,12060
30066,12060
30067,12060
30058,12060
30106,12060
30113,12060
30093,12060
30103,15660
30095,12060
30087,12060
30139,15660
30143,12060
30139,12060
30132,12060
30133,12060
30116,12060
30260,12060
30241,29300
30222,12060
30257,12060
30236,12060
30223,12060
30224,12060
30228,12060
30185,12060
30175,99999
30173,40660
30303,12060
30298,12060
30293,12060
30263,12060
30274,12060
30513,99999
30350,12060
30358,12060
30341,12060
30336,12060
30553,99999
30542,23580
30554,99999
30517,23580
30663,12060
30655,12060
30605,12020
30564,23580
30563,18460
30565,12020
30575,27600
30474,47080
30808,12260
30457,99999
30436,99999
29847,12260
29810,99999
29819,24940
31024,99999
31028,47580
31025,47580
30909,12260
31010,18380
31007,99999
31008,31420
30904,12260
30833,99999
30814,12260
31220,31420
31094,99999
31096,20140
31078,31420
31061,33300
31079,99999
31047,47580
31052,31420
31044,31420
31050,31420
31035,99999
31520,15260
31525,15260
31503,48180
31324,42340
31650,99999
31553,15260
31641,46660
31702,10500
31637,99999
31630,99999
31565,41220
31557,15260
31534,20060
31903,17980
31836,99999
31795,10500
31763,10500
31779,99999
31783,99999
31775,34220
31750,22340
31730,99999
31712,99999
31708,10500
32063,27260
32064,99999
32025,29380
32011,27260
32003,27260
32219,27260
32220,27260
32207,27260
32211,27260
32204,27260
32205,27260
32206,27260
32097,27260
32202,27260
32327,45220
32311,45220
32315,45220
32309,45220
32305,45220
32277,27260
32225,27260
32236,27260
32425,99999
32344,45220
32405,37460
32336,45220
32455,99999
32343,45220
32411,37460
32628,99999
32640,37260
32667,23540
32667,36100
34431,99999
33016,33100
33020,33100
39886,99999
33009,33100
33010,33100
33012,33100
33013,33100
39841,99999
33313,33100
33317,33100
33305,33100
33315,33100
33327,33100
33320,33100
33310,33100
33197,33100
32563,37860
32466,37460
32503,37860
32549,18880
32462,99999
33179,33100
33173,33100
33140,33100
33126,33100
33131,33100
33133,33100
33136,33100
33031,33100
33050,28580
33069,33100
33125,33100
33081,33100
34491,36100
34470,36100
34474,36100
34434,26140
34453,26140
33436,33100
33446,33100
32177,37260
32703,36740
32708,36740
32131,37260
32137,19660
32180,19660
32132,19660
32136,19660
33573,45300
33559,45300
33594,45300
33566,45300
33606,45300
33418,33100
33401,33100
33406,33100
33434,33100
33429,33100
32967,42680
32931,37340
32906,37340
32923,37340
32828,36740
32832,36740
32833,36740
32901,37340
32750,36740
32763,19660
32728,19660
33496,33100
32118,19660
34972,36740
34948,38940
34974,99999
33772,45300
33773,45300
33763,45300
33810,29460
33811,29460
33805,29460
33766,45300
33935,17500
33946,39460
33952,39460
33972,15980
33909,15980
33974,15980
34771,36740
34744,36740
35005,13820
33705,45300
33637,45300
33616,45300
33622,45300
34606,45300
34613,45300
34654,45300
34697,45300
34243,35840
34219,35840
34223,35840
34210,35840
34287,35840
34241,35840
34215,35840
34220,35840
34105,34940
34114,34940
33991,15980
34146,34940
33870,42700
33815,29460
33840,29460
33852,42700
33905,15980
33857,42700
33906,15980
33846,29460
35180,13820
35121,13820
35126,13820
35171,13820
35211,13820
35183,45180
35188,46220
35601,19460
35603,19460
35611,26620
35563,99999
35565,99999
35546,46220
35553,99999
35633,22520
35549,13820
35552,99999
35546,99999
36301,20020
36305,20020
36117,33860
36264,99999
36302,20020
36274,46740
36276,46740
36319,20020
35057,18980
35072,45180
35080,13820
35020,13820
35033,18980
35040,13820
35042,13820
35079,13820
35043,13820
36067,33860
36017,21640
36081,45980
36025,33860
36064,33860
36042,99999
36035,45980
36030,99999
36010,21460
35953,13820
35954,23460
35967,22840
35968,22840
35952,13820
35987,13820
35905,23460
35976,10700
35756,26620
35650,19460
35652,22520
35660,22520
35671,26620
35740,42460
35461,46220
35224,13820
35458,46220
35486,46220
35490,46220
35501,13820
35469,46220
36619,33660
36580,19300
36732,99999
36572,33660
36602,33660
36555,19300
37035,34980
30740,19140
37013,34980
37033,34980
30734,15660
37026,34980
37050,99999
37010,34980
30742,16860
37018,46100
37058,99999
37402,16860
37424,16860
37650,27740
37656,27740
37692,27740
37705,28940
37405,16860
37412,16860
37657,27740
37602,27740
36507,19300
36521,33660
36343,20020
36340,20020
36477,20020
36344,20020
36442,99999
36453,21460
37365,99999
37329,11940
37327,99999
37325,17420
37359,99999
37391,17420
37320,17420
37217,34980
37167,34980
37186,34980
37187,34980
37190,32660
37189,34980
37152,34980
37153,34980
37220,34980
37165,34980
37069,34980
37135,34980
37085,34980
36862,46740
36871,17980
36786,99999
36831,12220
36776,46220
36783,99999
36858,17980
37917,28940
37919,28940
37843,35460
37849,28940
37865,42940
37890,34100
37923,28940
37924,28940
37886,28940
37878,28940
38128,32820
38112,32820
38305,27180
38139,32820
39067,99999
39095,99999
39083,27140
39094,99999
38923,24900
39140,99999
39111,27140
38966,99999
38965,37060
39111,99999
39045,27140
37772,28940
37777,28940
37716,28940
37745,24620
37811,28700
37825,99999
37831,28940
37713,35460
37726,28940
38833,99999
38683,99999
38827,99999
38703,24740
38751,26940
38759,17380
38774,17380
38748,99999
38563,34980
38581,99999
38606,99999
38562,18260
38583,18260
38572,18900
38553,99999
38617,17260
38647,32820
38650,32820
38375,99999
38357,99999
38313,27180
38328,99999
38315,27180
38483,29980
38449,99999
38482,34980
38305,99999
38347,27180
38041,99999
38057,32820
38063,15140
38015,32820
38075,15140
39355,32940
39365,99999
39422,99999
39429,99999
39501,25060
39428,99999
39462,25620
39366,32940
39439,32940
39456,25620
39362,99999
39425,25620
40011,31140
39755,48500
40014,31140
40078,99999
39705,18060
39773,48500
39710,18060
40056,31140
40176,99999
40025,31140
40161,21060
40143,99999
40003,31140
41701,99999
42164,14540
41858,99999
41663,99999
41759,99999
42085,32460
41763,99999
41777,99999
42129,23980
42079,32460
41773,99999
41819,99999
39213,27140
39327,99999
39201,27140
39341,99999
39215,27140
39347,29860
39284,27140
39337,99999
39190,35020
41301,99999
41311,99999
41339,99999
41367,99999
41465,99999
41265,99999
40862,99999
41332,99999
41564,99999
40982,30940
41224,99999
41238,99999
41631,99999
40740,30940
40903,30940
41166,99999
41604,99999
40502,30460
40505,30460
40489,19220
40348,30460
40460,40080
40507,30460
40419,99999
40385,40080
40403,99999
40353,30460
40272,31140
40215,31140
40291,31140
40208,31140
40330,99999
40232,31140
40322,34460
39565,25060
39540,25060
39560,25060
39573,25060
39561,99999
39663,99999
39652,32620
39657,32620
42749,99999
47124,31140
42702,21060
47117,31140
47138,31500
47142,31140
47136,31140
47108,31140
47118,99999
47115,31140
42629,99999
47620,21780
43615,45780
43938,48260
43614,45780
43619,45780
43623,45780
43608,45780
43612,45780
43566,45780
